trip_id,date,time,transport_type,route_id,origin_station,destination_station,scheduled_departure,scheduled_arrival,actual_departure_delay_min,actual_arrival_delay_min,weather_condition,temperature_C,humidity_percent,wind_speed_kmh,precipitation_mm,event_type,event_attendance_est,traffic_congestion_index,holiday,peak_hour,weekday,season,delayed,is_circular_trip,datetime,sched_dep_datetime,sched_arr_datetime,hour,day_name,is_weekend,month,week_of_year,time_of_day_bucket,total_delay,delay_change,is_early_departure,is_early_arrival,trip_duration_scheduled,severe_delay,transport_type_enc,weather_condition_enc,event_type_enc,season_enc,weather_severity_index,feels_like_impact,event_impact_score,congestion_weather_combo,station_avg_dep_delay,station_delay_rate,route_avg_delay,route_delay_rate,actual_departure_delay_min_z,actual_arrival_delay_min_z,temperature_C_z,humidity_percent_z,wind_speed_kmh_z,precipitation_mm_z,event_attendance_est_z,traffic_congestion_index_z,total_delay_z,delay_change_z,trip_duration_scheduled_z,weather_severity_index_z,feels_like_impact_z,event_impact_score_z,congestion_weather_combo_z,actual_departure_delay_min_mm,actual_arrival_delay_min_mm,temperature_C_mm,humidity_percent_mm,wind_speed_kmh_mm,precipitation_mm_mm,event_attendance_est_mm,traffic_congestion_index_mm,total_delay_mm,delay_change_mm,trip_duration_scheduled_mm,weather_severity_index_mm,feels_like_impact_mm,event_impact_score_mm,congestion_weather_combo_mm
T00126,2023-01-02,12:30:00,Train,Route_20,Station_49,Station_36,12:30:00,13:08:00,-2,29,Snow,3,40,34,9.7,Concert,500,0,1,0,0,Spring,1,0,2023-01-02T07:00:00Z,2023-01-02T07:00:00Z,2023-01-02T07:38:00Z,12,Monday,1,1,1,Afternoon,27,31,1,0,38,1,3,5,1,2,0.6668,1.02,0,0,8.04,67.35,13.46,75.26,-1.7051,1.6881,-1.0559,-1.2154,0.2722,-0.0278,-0.3772,-1.7192,0.4471,2.3453,0.0879,1.0641,-0.7236,-0.5248,-1.2795,0,1,0.2,0.1449,0.5763,0.485,0.1,0,0.5962,1,0.5116,0.6686,0.1664,0,0
T00127,2023-01-02,12:45:00,Bus,Route_17,Station_10,Station_28,12:48:00,13:35:00,9,29,Cloudy,32.6,55,38,7.5,None,5000,62,0,0,0,Winter,1,0,2023-01-02T07:15:00Z,2023-01-02T07:18:00Z,2023-01-02T08:05:00Z,12,Monday,1,1,1,Afternoon,38,20,0,0,47,1,1,2,0,1,0.3431,12.388,310,21.2722,7.53,77.5,13.47,78.18,0.0498,1.6881,1.5226,-0.4777,0.5039,-0.4083,1.9237,0.4022,1.432,1.367,0.8814,-0.5109,1.7318,2.0695,-0.0701,0.5238,1,0.94,0.3623,0.6441,0.375,1,0.6263,0.8077,0.7925,0.7209,0.3405,0.655,0.6263,0.2271
T00128,2023-01-02,13:00:00,Metro,Route_10,Station_44,Station_29,13:00:00,13:45:00,15,14,Snow,25.5,82,37,5.7,None,0,67,0,0,0,Spring,1,0,2023-01-02T07:30:00Z,2023-01-02T07:30:00Z,2023-01-02T08:15:00Z,13,Monday,1,1,1,Afternoon,29,-1,0,0,45,0,2,5,0,2,0.6021,9.435,0,40.3407,10.24,76.32,11.81,70.93,1.007,0.0734,0.9041,0.8501,0.446,-0.7197,-0.6329,0.5733,0.6262,-0.5007,0.7051,0.7493,1.0939,-0.5248,1.014,0.8095,0.5312,0.7625,0.7536,0.6271,0.285,0,0.6768,0.6346,0.3962,0.6744,0.603,0.5281,0,0.4307
T00129,2023-01-02,13:15:00,Metro,Route_3,Station_47,Station_47,13:19:00,14:10:00,13,19,Cloudy,22.8,43,13,10,Parade,0,73,0,1,0,Autumn,1,1,2023-01-02T07:45:00Z,2023-01-02T07:49:00Z,2023-01-02T08:40:00Z,13,Monday,1,1,1,Afternoon,32,6,0,0,51,1,2,2,3,4,0.266,2.964,0,19.418,8.43,70.59,13.07,71.93,0.6879,0.6116,0.6689,-1.0678,-0.9442,0.0241,-0.6329,0.7786,0.8948,0.1218,1.2341,-0.886,-0.3037,-0.5248,-0.1755,0.7143,0.6875,0.695,0.1884,0.2203,0.5,0,0.73740000000000006,0.6923,0.5283,0.814,0.2624,0.2499,0,0.2073
T00130,2023-01-02,13:30:00,Metro,Route_18,Station_10,Station_12,13:34:00,14:12:00,9,19,Cloudy,4.6,93,54,18.7,Sports,0,25,0,0,0,Winter,1,0,2023-01-02T08:00:00Z,2023-01-02T08:04:00Z,2023-01-02T08:42:00Z,13,Monday,1,1,1,Afternoon,28,10,0,0,38,1,2,2,5,1,0.6484,2.484,0,16.21,7.53,77.5,14.13,75.25,0.0498,0.6116,-0.9165,1.391,1.4307,1.5289,-0.6329,-0.8638,0.5366,0.4776,0.0879,0.9745,-0.4074,-0.5248,-0.3579,0.5238,0.6875,0.24,0.913,0.9153,0.935,0,0.2525,0.6154,0.6038,0.5116,0.6499,0.2293,0,0.1731
T00131,2023-01-02,13:45:00,Bus,Route_18,Station_46,Station_37,13:45:00,14:17:00,17,11,Snow,-0.3,39,58,3,None,0,39,0,1,0,Spring,1,0,2023-01-02T08:15:00Z,2023-01-02T08:15:00Z,2023-01-02T08:47:00Z,13,Monday,1,1,1,Afternoon,28,-6,0,0,32,0,1,5,0,2,0.6549,-0.174,0,25.5411,9.44,79.41,14.13,75.25,1.3261,-0.2495,-1.3434,-1.2645,1.6624,-1.1867,-0.6329,-0.3847,0.5366,-0.9454,-0.4412,1.0062,-0.9815,-0.5248,0.1726,0.9048,0.4375,0.1175,0.1304,0.9831,0.15,0,0.3939,0.6154,0.3019,0.3721,0.6565,0.115,0,0.2727
T00132,2023-01-02,14:00:00,Bus,Route_17,Station_13,Station_30,14:00:00,14:44:00,10,22,Cloudy,29.8,60,4,8.4,None,0,2,0,0,0,Autumn,1,0,2023-01-02T08:30:00Z,2023-01-02T08:30:00Z,2023-01-02T09:14:00Z,14,Monday,1,1,1,Afternoon,32,12,0,0,44,1,1,2,0,4,0.1883,1.192,0,0.3766,8.39,77.55,13.47,78.18,0.2093,0.9346,1.2787,-0.2318,-1.4655,-0.2527,-0.6329,-1.6507,0.8948,0.6555,0.6169,-1.264,-0.6865,-0.5248,-1.2581,0.5714,0.7812,0.87,0.4348,0.0678,0.42,0,0.0202,0.6923,0.6415,0.6512,0.1836,0.1737,0,0.004
T00133,2023-01-02,14:15:00,Bus,Route_3,Station_37,Station_23,14:15:00,14:36:00,5,26,Snow,-4.8,65,29,18.2,None,0,8,0,0,0,Autumn,1,0,2023-01-02T08:45:00Z,2023-01-02T08:45:00Z,2023-01-02T09:06:00Z,14,Monday,1,1,1,Afternoon,31,21,0,0,21,1,1,5,0,4,0.8113,-1.392,0,6.4904,8.84,62.16,13.07,71.93,-0.5884,1.3652,-1.7354,0.0141,-0.0174,1.4424,-0.6329,-1.4454,0.8052,1.4559,-1.4111,1.7671,-1.2446,-0.5248,-0.9105,0.3333,0.9062,0.005,0.5072,0.4915,0.91,0,0.0808,0.6731,0.8113,0.1163,0.815,0.0627,0,0.0693
T00134,2023-01-02,14:30:00,Tram,Route_3,Station_38,Station_16,14:34:00,14:51:00,19,21,Cloudy,10.5,39,3,7,None,5000,31,0,0,0,Spring,1,0,2023-01-02T09:00:00Z,2023-01-02T09:04:00Z,2023-01-02T09:21:00Z,14,Monday,1,1,1,Afternoon,40,2,0,0,17,1,4,2,0,2,0.1552,0.315,155,4.8112,10.91,73.33,13.07,71.93,1.6452,0.8269,-0.4026,-1.2645,-1.5234,-0.4948,1.9237,-0.6585,1.611,-0.2339,-1.7638,-1.4251,-0.8759,0.7724,-1.006,1,0.75,0.3875,0.1304,0.0508,0.35,1,0.3131,0.8462,0.4528,0.0233,0.1501,0.136,0.3131,0.0514
T00135,2023-01-02,14:45:00,Bus,Route_6,Station_24,Station_14,14:46:00,15:20:00,-2,12,Fog,6.1,55,14,15.4,None,0,66,0,1,0,Autumn,1,0,2023-01-02T09:15:00Z,2023-01-02T09:16:00Z,2023-01-02T09:50:00Z,14,Monday,1,1,1,Afternoon,10,14,1,0,34,0,1,3,0,4,0.379,0.854,0,25.014,8.4,80,13.84,76.29,-1.7051,-0.1419,-0.7859,-0.4777,-0.8863,0.9581,-0.6329,0.5391,-1.0749,0.8334,-0.2648,-0.3362,-0.7595,-0.5248,0.1426,0,0.4688,0.2775,0.3623,0.2373,0.77,0,0.6667,0.2692,0.6792,0.4186,0.3769,0.1592,0,0.267
T00136,2023-01-02,15:00:00,Bus,Route_13,Station_2,Station_10,15:00:00,15:28:00,18,10,Clear,17.8,49,38,7.8,None,0,3,0,0,0,Summer,1,0,2023-01-02T09:30:00Z,2023-01-02T09:30:00Z,2023-01-02T09:58:00Z,15,Monday,1,1,1,Afternoon,28,-8,0,0,28,0,1,1,0,3,0.3491,6.764,0,1.0473,9.03,74.19,11.93,69.64,1.4856,-0.3572,0.2333,-0.7728,0.5039,-0.3564,-0.6329,-1.6165,0.5366,-1.1233,-0.7939,-0.4817,0.517,-0.5248,-1.22,0.9524,0.4062,0.57,0.2754,0.6441,0.39,0,0.0303,0.6154,0.2642,0.2791,0.3466,0.4133,0,0.0112
T00137,2023-01-02,15:15:00,Bus,Route_15,Station_22,Station_7,15:18:00,16:02:00,4,13,Snow,5,73,34,16.1,None,5000,5,0,0,0,Summer,1,0,2023-01-02T09:45:00Z,2023-01-02T09:48:00Z,2023-01-02T10:32:00Z,15,Monday,1,1,1,Afternoon,17,9,0,0,44,0,1,5,0,3,0.7947,1.7,25,3.9735,7.28,82.61,13.99,77.68,-0.7479,-0.0342,-0.8817,0.4075,0.2722,1.0792,1.9237,-1.5481,-0.4482,0.3887,0.6169,1.6864,-0.5767,-0.3156,-1.0536,0.2857,0.5,0.25,0.6232,0.5763,0.805,1,0.0505,0.4038,0.5849,0.6512,0.7982,0.1956,0.0505,0.0424
T00138,2023-01-02,15:30:00,Tram,Route_9,Station_17,Station_45,15:34:00,16:02:00,12,8,Cloudy,7.4,91,44,19.6,Festival,5000,72,0,0,0,Winter,1,0,2023-01-02T10:00:00Z,2023-01-02T10:04:00Z,2023-01-02T10:32:00Z,15,Monday,1,1,1,Afternoon,20,-4,0,0,28,0,4,2,2,1,0.6155,3.256,360,44.316,8.95,85.45,12.83,76.24,0.5284,-0.5725,-0.6726,1.2927,0.8515,1.6846,1.9237,0.7444,-0.1796,-0.7675,-0.7939,0.8145,-0.2407,2.488,1.24,0.6667,0.3438,0.31,0.8841,0.7458,0.98,1,0.7273,0.4615,0.3396,0.2791,0.6166,0.2625,0.7273,0.4731
T00139,2023-01-02,15:45:00,Bus,Route_4,Station_36,Station_37,15:47:00,16:39:00,19,25,Fog,29,38,9,7.8,Festival,0,25,0,0,0,Summer,1,0,2023-01-02T10:15:00Z,2023-01-02T10:17:00Z,2023-01-02T11:09:00Z,15,Monday,1,1,1,Afternoon,44,6,0,0,52,1,1,3,2,3,0.2017,2.61,0,5.0425,9.11,78.95,12.68,72.12,1.6452,1.2575,1.209,-1.3137,-1.1759,-0.3564,-0.6329,-0.8638,1.9691,0.1218,1.3223,-1.1988,-0.3802,-0.5248,-0.9929,1,0.875,0.85,0.1159,0.1525,0.39,0,0.2525,0.9231,0.5283,0.8372,0.1972,0.2347,0,0.0538
T00140,2023-01-02,16:00:00,Metro,Route_14,Station_14,Station_29,16:02:00,16:32:00,10,28,Clear,19.1,53,54,16.9,None,5000,1,0,0,0,Summer,1,0,2023-01-02T10:30:00Z,2023-01-02T10:32:00Z,2023-01-02T11:02:00Z,16,Monday,1,1,1,Afternoon,38,18,0,0,30,1,2,1,0,3,0.61240000000000006,10.314,5,0.61240000000000006,8.14,89.29,13.5,75.24,0.2093,1.5805,0.3466,-0.5761,1.4307,1.2176,1.9237,-1.685,1.432,1.1891,-0.6175,0.7994,1.2838,-0.4829,-1.2447,0.5714,0.9688,0.6025,0.3333,0.9153,0.845,1,0.0101,0.8077,0.7547,0.3256,0.6135,0.5659,0.0101,0.0065
T00141,2023-01-02,16:15:00,Bus,Route_5,Station_10,Station_3,16:18:00,17:05:00,10,20,Cloudy,0.8,41,1,19.8,Concert,0,65,0,0,0,Spring,1,0,2023-01-02T10:45:00Z,2023-01-02T10:48:00Z,2023-01-02T11:35:00Z,16,Monday,1,1,1,Afternoon,30,10,0,0,47,1,1,2,1,2,0.4009,0.008,0,26.0585,7.53,77.5,13.87,75.51,0.2093,0.7193,-1.2476,-1.1662,-1.6393,1.7192,-0.6329,0.5049,0.7157,0.4776,0.8814,-0.2296,-0.9422,-0.5248,0.202,0.5714,0.7188,0.145,0.1594,0.0169,0.99,0,0.6566,0.6538,0.6038,0.7209,0.3991,0.1229,0,0.2782
T00142,2023-01-02,16:30:00,Metro,Route_2,Station_35,Station_15,16:31:00,17:10:00,6,9,Clear,24.1,89,43,19.7,None,0,84,0,1,0,Winter,1,0,2023-01-02T11:00:00Z,2023-01-02T11:01:00Z,2023-01-02T11:40:00Z,16,Monday,1,1,1,Afternoon,15,3,0,0,39,0,2,1,0,1,0.61240000000000006,10.363,0,51.4416,8.92,84.62,13.22,77.27,-0.4288,-0.4648,0.7822,1.1943,0.7935,1.7019,-0.6329,1.155,-0.6273,-0.145,0.176,0.7994,1.2944,-0.5248,1.6451,0.381,0.375,0.7275,0.8551,0.7288,0.985,0,0.8485,0.3654,0.4717,0.5349,0.6135,0.568,0,0.5492
T00143,2023-01-02,16:45:00,Metro,Route_11,Station_25,Station_36,16:45:00,17:36:00,12,16,Snow,3.3,45,59,8.7,Concert,5000,85,0,1,0,Spring,1,0,2023-01-02T11:15:00Z,2023-01-02T11:15:00Z,2023-01-02T12:06:00Z,16,Monday,1,1,1,Afternoon,28,4,0,0,51,1,2,5,1,2,0.7739,1.947,425,65.7815,9.57,70,13.34,72.73,0.5284,0.2887,-1.0298,-0.9695,1.7203,-0.2008,1.9237,1.1892,0.5366,-0.056,1.2341,1.5851,-0.5234,3.0319,2.4604,0.6667,0.5938,0.2075,0.2174,1,0.435,1,0.8586,0.6154,0.4906,0.814,0.7771,0.2062,0.8586,0.7023
T00144,2023-01-02,17:00:00,Metro,Route_9,Station_3,Station_47,17:04:00,17:53:00,1,11,Clear,12.3,58,23,9.7,None,2000,2,1,1,0,Spring,1,0,2023-01-02T11:30:00Z,2023-01-02T11:34:00Z,2023-01-02T12:23:00Z,17,Monday,1,1,1,Afternoon,12,10,0,0,49,0,2,1,0,2,0.3109,2.829,4,0.6218,8.2,70.73,12.83,76.24,-1.2265,-0.2495,-0.2458,-0.3302,-0.3649,-0.0278,0.3897,-1.6507,-0.8958,0.4776,1.0578,-0.6675,-0.3329,-0.4913,-1.2442,0.1429,0.4375,0.4325,0.4058,0.3898,0.485,0.4,0.0202,0.3077,0.6038,0.7674,0.3079,0.2441,0.0081,0.0066
T00145,2023-01-02,17:15:00,Tram,Route_3,Station_47,Station_46,17:15:00,17:42:00,10,0,Rain,20.9,61,27,6.1,Festival,5000,34,0,0,0,Summer,0,0,2023-01-02T11:45:00Z,2023-01-02T11:45:00Z,2023-01-02T12:12:00Z,17,Monday,1,1,1,Afternoon,10,-10,0,0,27,0,4,4,2,3,0.2592,5.643,170,8.8128,8.43,70.59,13.07,71.93,0.2093,-1.4336,0.5034,-0.1826,-0.1333,-0.6505,1.9237,-0.5558,-1.0749,-1.3012,-0.882,-0.9191,0.2749,0.8979,-0.7785,0.5714,0.0938,0.6475,0.4493,0.4576,0.305,1,0.3434,0.2692,0.2264,0.2558,0.2555,0.3651,0.3434,0.0941
T00146,2023-01-02,17:30:00,Tram,Route_9,Station_38,Station_19,17:34:00,17:51:00,9,24,Storm,5.9,64,21,6.3,Festival,5000,58,0,0,0,Summer,1,0,2023-01-02T12:00:00Z,2023-01-02T12:04:00Z,2023-01-02T12:21:00Z,17,Monday,1,1,1,Afternoon,33,15,0,0,17,1,4,6,2,3,0.5327,1.239,290,30.8966,10.91,73.33,12.83,76.24,0.0498,1.1499,-0.8033,-0.0351,-0.4808,-0.6159,1.9237,0.2654,0.9843,0.9223,-1.7638,0.4116,-0.6763,1.9021,0.4771,0.5238,0.8438,0.2725,0.4928,0.3559,0.315,1,0.5859,0.7115,0.6981,0.0233,0.5327,0.1758,0.5859,0.3299
T00147,2023-01-02,17:45:00,Tram,Route_3,Station_17,Station_13,17:47:00,18:42:00,2,-2,Rain,10.4,72,43,9.8,None,0,37,0,0,0,Autumn,0,0,2023-01-02T12:15:00Z,2023-01-02T12:17:00Z,2023-01-02T13:12:00Z,17,Monday,1,1,1,Afternoon,0,-4,0,1,55,0,4,4,0,4,0.4145,4.472,0,15.3365,8.95,85.45,13.07,71.93,-1.067,-1.6489,-0.4113,0.3583,0.7935,-0.0105,-0.6329,-0.4532,-1.9702,-0.7675,1.5868,-0.1635,0.022,-0.5248,-0.4076,0.1905,0.0312,0.385,0.6087,0.7288,0.49,0,0.3737,0.0769,0.3396,0.907,0.4129,0.3147,0,0.1637
T00148,2023-01-02,18:00:00,Bus,Route_2,Station_12,Station_42,18:00:00,18:51:00,4,26,Snow,24.4,82,31,4,Sports,0,32,0,1,0,Autumn,1,0,2023-01-02T12:30:00Z,2023-01-02T12:30:00Z,2023-01-02T13:21:00Z,18,Monday,1,1,1,Evening,30,22,0,0,51,1,1,5,5,4,0.5376,7.564,0,17.2032,10.31,66.67,13.22,77.27,-0.7479,1.3652,0.8083,0.8501,0.0984,-1.0137,-0.6329,-0.6242,0.7157,1.5449,1.2341,0.4355,0.6898,-0.5248,-0.3015,0.2857,0.9062,0.735,0.7536,0.5254,0.2,0,0.3232,0.6538,0.8302,0.814,0.5377,0.4476,0,0.1837
T00149,2023-01-02,18:15:00,Metro,Route_12,Station_24,Station_21,18:18:00,19:14:00,5,22,Snow,32.5,49,30,14.2,Concert,0,14,1,0,0,Winter,1,0,2023-01-02T12:45:00Z,2023-01-02T12:48:00Z,2023-01-02T13:44:00Z,18,Monday,1,1,1,Evening,27,17,0,0,56,1,2,5,1,1,0.7364,9.75,0,10.3096,8.4,80,14.29,80,-0.5884,0.9346,1.5139,-0.7728,0.0405,0.7506,-0.6329,-1.2401,0.4471,1.1002,1.675,1.4027,1.162,-0.5248,-0.6934,0.3333,0.7812,0.9375,0.2754,0.5085,0.71,0,0.1414,0.5962,0.7358,0.9302,0.7391,0.5416,0,0.1101
T00150,2023-01-02,18:30:00,Tram,Route_10,Station_29,Station_37,18:31:00,19:17:00,2,22,Clear,16.2,37,18,10.7,None,0,74,0,0,0,Summer,1,0,2023-01-02T13:00:00Z,2023-01-02T13:01:00Z,2023-01-02T13:47:00Z,18,Monday,1,1,1,Evening,24,20,0,0,46,1,4,1,0,3,0.3054,2.916,0,22.5996,7.21,72.34,11.81,70.93,-1.067,0.9346,0.094,-1.3629,-0.6546,0.1452,-0.6329,0.8128,0.1785,1.367,0.7933,-0.6943,-0.3141,-0.5248,0.0053,0.1905,0.7812,0.53,0.1014,0.3051,0.535,0,0.7475,0.5385,0.7925,0.6977,0.3023,0.2479,0,0.2413
T00151,2023-01-02,18:45:00,Tram,Route_9,Station_43,Station_27,18:48:00,19:41:00,6,16,Fog,-4.6,71,50,18,Concert,0,73,0,1,0,Autumn,1,0,2023-01-02T13:15:00Z,2023-01-02T13:18:00Z,2023-01-02T14:11:00Z,18,Monday,1,1,1,Evening,22,10,0,0,53,1,4,3,1,4,0.6141,-2.3,0,44.8293,8.29,66.67,12.83,76.24,-0.4288,0.2887,-1.718,0.3091,1.199,1.4078,-0.6329,0.7786,-5e-4,0.4776,1.4105,0.8077,-1.4407,-0.5248,1.2692,0.381,0.5938,0.01,0.5942,0.8475,0.9,0,0.73740000000000006,0.5,0.6038,0.8605,0.6152,0.0236,0,0.4786
T00152,2023-01-02,19:00:00,Bus,Route_15,Station_25,Station_29,19:01:00,19:20:00,11,24,Cloudy,8.5,99,20,16.2,Concert,0,99,0,0,0,Spring,1,0,2023-01-02T13:30:00Z,2023-01-02T13:31:00Z,2023-01-02T13:50:00Z,19,Monday,1,1,1,Evening,35,13,0,0,19,1,1,2,1,2,0.4255,1.7,0,42.1245,9.57,70,13.99,77.68,0.3689,1.1499,-0.5768,1.6861,-0.5387,1.0965,-0.6329,1.6683,1.1634,0.7444,-1.5874,-0.11,-0.5767,-0.5248,1.1154,0.619,0.8438,0.3375,1,0.339,0.81,0,1,0.75,0.6604,0.0698,0.424,0.1956,0,0.4497
T00153,2023-01-02,19:15:00,Tram,Route_8,Station_36,Station_20,19:15:00,19:44:00,9,16,Storm,10.9,45,2,6.4,Festival,5000,13,0,0,0,Summer,1,0,2023-01-02T13:45:00Z,2023-01-02T13:45:00Z,2023-01-02T14:14:00Z,19,Monday,1,1,1,Evening,25,7,0,0,29,1,4,6,2,3,0.4381,0.218,65,5.6953,9.11,78.95,13.31,74.31,0.0498,0.2887,-0.3677,-0.9695,-1.5814,-0.5986,1.9237,-1.2744,0.2681,0.2108,-0.7057,-0.0487,-0.8968,0.0192,-0.9557,0.5238,0.5938,0.3975,0.2174,0.0339,0.32,1,0.1313,0.5577,0.5472,0.3023,0.4368,0.1319,0.1313,0.0608
T00154,2023-01-02,19:30:00,Bus,Route_5,Station_26,Station_25,19:30:00,19:53:00,1,7,Cloudy,8.6,98,5,10.1,Sports,5000,65,0,0,0,Winter,1,0,2023-01-02T14:00:00Z,2023-01-02T14:00:00Z,2023-01-02T14:23:00Z,19,Monday,1,1,1,Evening,8,6,0,0,23,0,1,2,5,1,0.2273,0.43,325,14.7745,7.39,80.49,13.87,75.51,-1.2265,-0.6801,-0.5681,1.6369,-1.4076,0.0414,1.9237,0.5049,-1.254,0.1218,-1.2347,-1.0743,-0.851,2.1951,-0.4395,0.1429,0.3125,0.34,0.9855,0.0847,0.505,1,0.6566,0.2308,0.5283,0.1628,0.2232,0.141,0.6566,0.1577
T00155,2023-01-02,19:45:00,Train,Route_11,Station_38,Station_6,19:46:00,20:39:00,17,6,Fog,12.5,82,31,15,None,500,44,0,0,0,Winter,1,0,2023-01-02T14:15:00Z,2023-01-02T14:16:00Z,2023-01-02T15:09:00Z,19,Monday,1,1,1,Evening,23,-11,0,0,53,0,3,3,0,1,0.4575,3.875,22,20.13,10.91,73.33,13.34,72.73,1.3261,-0.7878,-0.2284,0.8501,0.0984,0.8889,-0.3772,-0.2136,0.089,-1.3901,1.4105,0.0457,-0.107,-0.3407,-0.1351,0.9048,0.2812,0.4375,0.7536,0.5254,0.75,0.1,0.4444,0.5192,0.2075,0.8605,0.4565,0.2891,0.0444,0.2149
T00156,2023-01-02,20:00:00,Tram,Route_2,Station_1,Station_36,20:02:00,20:29:00,5,19,Snow,20.3,74,1,3.9,Protest,0,47,0,1,0,Spring,1,0,2023-01-02T14:30:00Z,2023-01-02T14:32:00Z,2023-01-02T14:59:00Z,20,Monday,1,1,1,Evening,24,14,0,0,27,1,4,5,4,2,0.383,0.203,0,18.001,7.47,67.5,13.22,77.27,-0.5884,0.6116,0.4511,0.4567,-1.6393,-1.031,-0.6329,-0.111,0.1785,0.8334,-0.882,-0.3167,-0.9001,-0.5248,-0.2561,0.3333,0.6875,0.6325,0.6377,0.0169,0.195,0,0.4747,0.5385,0.6792,0.2558,0.381,0.1312,0,0.1922
T00157,2023-01-02,20:15:00,Train,Route_15,Station_20,Station_2,20:19:00,20:45:00,14,15,Storm,-0.2,80,23,0.6,Parade,2000,43,0,0,0,Autumn,1,0,2023-01-02T14:45:00Z,2023-01-02T14:49:00Z,2023-01-02T15:15:00Z,20,Monday,1,1,1,Evening,29,1,0,0,26,0,3,6,3,4,0.4289,-0.046,86,18.4427,9.05,72.09,13.99,77.68,0.8475,0.1811,-1.3347,0.7517,-0.3649,-1.6018,0.3897,-0.2479,0.6262,-0.3228,-0.9702,-0.0934,-0.9538,0.1949,-0.231,0.7619,0.5625,0.12,0.7246,0.3898,0.03,0.4,0.4343,0.6346,0.434,0.2326,0.4275,0.1205,0.1737,0.1969
T00158,2023-01-02,20:30:00,Bus,Route_6,Station_28,Station_22,20:33:00,21:03:00,5,14,Rain,5.9,35,44,17,None,500,36,1,0,0,Spring,1,0,2023-01-02T15:00:00Z,2023-01-02T15:03:00Z,2023-01-02T15:33:00Z,20,Monday,1,1,1,Evening,19,9,0,0,30,0,1,4,0,2,0.5636,2.596,18,20.2896,9.77,78.72,13.84,76.29,-0.5884,0.0734,-0.8033,-1.4612,0.8515,1.2349,-0.3772,-0.4874,-0.2691,0.3887,-0.6175,0.562,-0.3832,-0.3742,-0.126,0.3333,0.5312,0.2725,0.0725,0.7458,0.85,0.1,0.3636,0.4423,0.5849,0.3256,0.564,0.2341,0.0364,0.2166
T00159,2023-01-02,20:45:00,Metro,Route_8,Station_16,Station_32,20:48:00,21:42:00,18,23,Snow,15.3,62,58,2.8,None,5000,28,0,0,0,Autumn,1,0,2023-01-02T15:15:00Z,2023-01-02T15:18:00Z,2023-01-02T16:12:00Z,20,Monday,1,1,1,Evening,41,5,0,0,54,1,2,5,0,4,0.6509,8.874,140,18.2252,8.65,83.78,13.31,74.31,1.4856,1.0422,0.0156,-0.1335,1.6624,-1.2213,1.9237,-0.7611,1.7005,0.0329,1.4986,0.9867,0.9728,0.6468,-0.2434,0.9524,0.8125,0.5075,0.4638,0.9831,0.14,1,0.2828,0.8654,0.5094,0.8837,0.6525,0.504,0.2828,0.1946
T00160,2023-01-02,21:00:00,Tram,Route_5,Station_47,Station_16,21:03:00,21:31:00,-2,2,Snow,7.6,44,59,17.8,Sports,0,98,0,0,0,Summer,0,0,2023-01-02T15:30:00Z,2023-01-02T15:33:00Z,2023-01-02T16:01:00Z,21,Monday,1,1,1,Evening,0,4,1,0,28,0,4,5,5,3,0.9558,4.484,0,93.6684,8.43,70.59,13.87,75.51,-1.7051,-1.2183,-0.6552,-1.0187,1.7203,1.3733,-0.6329,1.634,-1.9702,-0.056,-0.7939,2.4702,0.0246,-0.5248,4.0459,0,0.1562,0.315,0.2029,1,0.89,0,0.9899,0.0769,0.4906,0.2791,0.9615,0.3153,0,1
T00161,2023-01-02,21:15:00,Bus,Route_16,Station_17,Station_18,21:15:00,21:51:00,17,6,Clear,34.6,43,26,18.3,Parade,0,83,0,0,0,Winter,1,0,2023-01-02T15:45:00Z,2023-01-02T15:45:00Z,2023-01-02T16:21:00Z,21,Monday,1,1,1,Evening,23,-11,0,0,36,0,1,1,3,1,0.498,8.996,0,41.334,8.95,85.45,13.16,68.75,1.3261,-0.7878,1.6968,-1.0678,-0.1912,1.4597,-0.6329,1.1208,0.089,-1.3901,-0.0885,0.2428,0.9991,-0.5248,1.0705,0.9048,0.2812,0.99,0.1884,0.4407,0.915,0,0.8384,0.5192,0.2075,0.4651,0.4975,0.5092,0,0.4413
T00162,2023-01-02,21:30:00,Metro,Route_18,Station_40,Station_5,21:33:00,22:05:00,-1,-2,Fog,12.3,68,8,9.2,None,5000,84,0,0,0,Autumn,0,0,2023-01-02T16:00:00Z,2023-01-02T16:03:00Z,2023-01-02T16:35:00Z,21,Monday,1,1,1,Evening,-3,-1,1,1,32,0,2,3,0,4,0.2246,0.984,420,18.8664,9.98,73.47,14.13,75.25,-1.5456,-1.6489,-0.2458,0.1616,-1.2338,-0.1143,1.9237,1.155,-2.2388,-0.5007,-0.4412,-1.0874,-0.7314,2.9901,-0.2069,0.0476,0.0312,0.4325,0.5507,0.1356,0.46,1,0.8485,0.0192,0.3962,0.3721,0.2204,0.1648,0.8485,0.2014
